Sum: 49995000





main shutdown
[0]: sampled: 187000, processed: 1074000, actuated: 1104000
[1]: sampled: 45000, processed: 1035000, actuated: 1048000
[2]: sampled: 22000, processed: 934000, actuated: 947000
[3]: sampled: 30000, processed: 1316000, actuated: 1329000
[4]: sampled: 24000, processed: 1303000, actuated: 1316000
[5]: sampled: 22000, processed: 959000, actuated: 972000
[6]: sampled: 21000, processed: 960000, actuated: 973000
[7]: sampled: 22000, processed: 854000, actuated: 867000
[8]: sampled: 21000, processed: 971000, actuated: 984000
[9]: sampled: 22000, processed: 918000, actuated: 936000
[10]: sampled: 22000, processed: 1068000, actuated: 1081000
[11]: sampled: 22000, processed: 1062000, actuated: 1075000
[12]: sampled: 22000, processed: 1121000, actuated: 1134000
[13]: sampled: 22000, processed: 1097000, actuated: 1110000
[14]: sampled: 22000, processed: 1269000, actuated: 1282000
[15]: sampled: 30000, processed: 995000, actuated: 1008000
[16]: sampled: 22000, processed: 1031000, actuated: 1044000
[17]: sampled: 22000, processed: 1007000, actuated: 1020000
[18]: sampled: 22000, processed: 814000, actuated: 827000
[19]: sampled: 21000, processed: 1066000, actuated: 1079000
[20]: sampled: 22000, processed: 1151000, actuated: 1164000
[21]: sampled: 22000, processed: 1005000, actuated: 1018000
[22]: sampled: 43000, processed: 1106000, actuated: 1119000
[23]: sampled: 25000, processed: 1054000, actuated: 1067000
[24]: sampled: 28000, processed: 990000, actuated: 1003000
[25]: sampled: 22000, processed: 978000, actuated: 991000
[26]: sampled: 20000, processed: 1118000, actuated: 1131000
[27]: sampled: 21000, processed: 1063000, actuated: 1076000
[28]: sampled: 21000, processed: 1064000, actuated: 1077000
[29]: sampled: 20000, processed: 993000, actuated: 1006000
[30]: sampled: 22000, processed: 1033000, actuated: 1046000
[31]: sampled: 21000, processed: 969000, actuated: 982000
[32]: sampled: 22000, processed: 1118000, actuated: 1131000
[33]: sampled: 25000, processed: 1180000, actuated: 1193000
[34]: sampled: 22000, processed: 1064000, actuated: 1077000
[35]: sampled: 36000, processed: 967000, actuated: 980000
[36]: sampled: 26000, processed: 1143000, actuated: 1156000
[37]: sampled: 56000, processed: 1194000, actuated: 1207000
[38]: sampled: 68000, processed: 988000, actuated: 1003000
[39]: sampled: 32000, processed: 998000, actuated: 1011000
[40]: sampled: 21000, processed: 1072000, actuated: 1085000
[41]: sampled: 22000, processed: 977000, actuated: 990000
[42]: sampled: 22000, processed: 967000, actuated: 980000
[43]: sampled: 22000, processed: 1053000, actuated: 1066000
[44]: sampled: 21000, processed: 1005000, actuated: 1018000
[45]: sampled: 34000, processed: 940000, actuated: 953000
[46]: sampled: 24000, processed: 1313000, actuated: 1326000
[47]: sampled: 22000, processed: 1056000, actuated: 1069000
[48]: sampled: 22000, processed: 936000, actuated: 949000
[49]: sampled: 21000, processed: 936000, actuated: 949000
[50]: sampled: 21000, processed: 1047000, actuated: 1060000
[51]: sampled: 21000, processed: 1208000, actuated: 1221000
[52]: sampled: 21000, processed: 957000, actuated: 970000
[53]: sampled: 21000, processed: 1035000, actuated: 1048000
[54]: sampled: 21000, processed: 1183000, actuated: 1196000
[55]: sampled: 21000, processed: 994000, actuated: 1007000
[56]: sampled: 22000, processed: 1181000, actuated: 1194000
[57]: sampled: 30000, processed: 998000, actuated: 1011000
[58]: sampled: 22000, processed: 1053000, actuated: 1066000
[59]: sampled: 22000, processed: 972000, actuated: 985000
[60]: sampled: 21000, processed: 1067000, actuated: 1080000
[61]: sampled: 22000, processed: 839000, actuated: 852000
[62]: sampled: 21000, processed: 965000, actuated: 978000
[63]: sampled: 22000, processed: 1027000, actuated: 1040000
[64]: sampled: 22000, processed: 856000, actuated: 869000
[65]: sampled: 22000, processed: 1011000, actuated: 1024000
[66]: sampled: 22000, processed: 889000, actuated: 902000
[67]: sampled: 22000, processed: 1043000, actuated: 1056000
[68]: sampled: 21000, processed: 1071000, actuated: 1084000
[69]: sampled: 21000, processed: 1068000, actuated: 1081000
[70]: sampled: 27000, processed: 991000, actuated: 1004000
[71]: sampled: 22000, processed: 1104000, actuated: 1117000
[72]: sampled: 22000, processed: 1035000, actuated: 1048000
[73]: sampled: 21000, processed: 1242000, actuated: 1255000
[74]: sampled: 21000, processed: 972000, actuated: 985000
[75]: sampled: 22000, processed: 1051000, actuated: 1064000
[76]: sampled: 21000, processed: 1087000, actuated: 1100000
[77]: sampled: 22000, processed: 995000, actuated: 1008000
[78]: sampled: 21000, processed: 943000, actuated: 956000
[79]: sampled: 22000, processed: 1040000, actuated: 1053000
[80]: sampled: 22000, processed: 1001000, actuated: 1014000
[81]: sampled: 29000, processed: 996000, actuated: 1009000
[82]: sampled: 23000, processed: 1005000, actuated: 1018000
[83]: sampled: 22000, processed: 1092000, actuated: 1105000
[84]: sampled: 22000, processed: 1042000, actuated: 1055000
[85]: sampled: 21000, processed: 1019000, actuated: 1032000
[86]: sampled: 21000, processed: 1079000, actuated: 1092000
[87]: sampled: 21000, processed: 1167000, actuated: 1180000
[88]: sampled: 22000, processed: 1089000, actuated: 1102000
[89]: sampled: 21000, processed: 1137000, actuated: 1150000
[90]: sampled: 22000, processed: 932000, actuated: 945000
[91]: sampled: 21000, processed: 1070000, actuated: 1083000
[92]: sampled: 20000, processed: 969000, actuated: 982000
[93]: sampled: 25000, processed: 902000, actuated: 915000
[94]: sampled: 25000, processed: 1073000, actuated: 1086000
