Sum: 49995000









main shutdown
[0]: sampled: 193000, processed: 1082000, actuated: 1112000
[1]: sampled: 41000, processed: 1029000, actuated: 1042000
[2]: sampled: 25000, processed: 937000, actuated: 950000
[3]: sampled: 23000, processed: 1886000, actuated: 1902000
[4]: sampled: 28000, processed: 1307000, actuated: 1320000
[5]: sampled: 24000, processed: 960000, actuated: 973000
[6]: sampled: 22000, processed: 962000, actuated: 975000
[7]: sampled: 22000, processed: 852000, actuated: 865000
[8]: sampled: 21000, processed: 971000, actuated: 984000
[9]: sampled: 22000, processed: 918000, actuated: 931000
[10]: sampled: 27000, processed: 1080000, actuated: 1095000
[11]: sampled: 22000, processed: 1062000, actuated: 1075000
[12]: sampled: 21000, processed: 1120000, actuated: 1133000
[13]: sampled: 22000, processed: 1096000, actuated: 1109000
[14]: sampled: 21000, processed: 1268000, actuated: 1281000
[15]: sampled: 22000, processed: 986000, actuated: 999000
[16]: sampled: 28000, processed: 1039000, actuated: 1052000
[17]: sampled: 23000, processed: 1007000, actuated: 1020000
[18]: sampled: 22000, processed: 815000, actuated: 828000
[19]: sampled: 22000, processed: 1067000, actuated: 1080000
[20]: sampled: 22000, processed: 1151000, actuated: 1164000
[21]: sampled: 20000, processed: 1003000, actuated: 1016000
[22]: sampled: 22000, processed: 1075000, actuated: 1094000
[23]: sampled: 45000, processed: 1075000, actuated: 1088000
[24]: sampled: 25000, processed: 986000, actuated: 999000
[25]: sampled: 22000, processed: 978000, actuated: 991000
[26]: sampled: 30000, processed: 1130000, actuated: 1143000
[27]: sampled: 23000, processed: 1065000, actuated: 1078000
[28]: sampled: 22000, processed: 1065000, actuated: 1078000
[29]: sampled: 22000, processed: 995000, actuated: 1008000
[30]: sampled: 21000, processed: 1033000, actuated: 1046000
[31]: sampled: 21000, processed: 969000, actuated: 982000
[32]: sampled: 22000, processed: 1118000, actuated: 1131000
[33]: sampled: 21000, processed: 1174000, actuated: 1187000
[34]: sampled: 21000, processed: 1063000, actuated: 1076000
[35]: sampled: 38000, processed: 969000, actuated: 983000
[36]: sampled: 26000, processed: 1145000, actuated: 1158000
[37]: sampled: 56000, processed: 1194000, actuated: 1207000
[38]: sampled: 64000, processed: 984000, actuated: 1001000
[39]: sampled: 26000, processed: 992000, actuated: 1005000
