sum: 49995000



Stop after 1000 iterations
main shutdown
logger shutdown
[0]: sampled: 294000, processed: 1468000, actuated: 1508000
[1]: sampled: 181000, processed: 1484000, actuated: 1524000
[2]: sampled: 196000, processed: 1407000, actuated: 1447000
[3]: sampled: 179000, processed: 1757000, actuated: 1797000
[4]: sampled: 195000, processed: 1773000, actuated: 1813000
[5]: sampled: 183000, processed: 1425000, actuated: 1465000
[6]: sampled: 200000, processed: 1441000, actuated: 1481000
[7]: sampled: 186000, processed: 1305000, actuated: 1345000
[8]: sampled: 205000, processed: 1477000, actuated: 1517000
[9]: sampled: 193000, processed: 1404000, actuated: 1445000
[10]: sampled: 184000, processed: 1517000, actuated: 1558000
[11]: sampled: 204000, processed: 1538000, actuated: 1578000
[12]: sampled: 193000, processed: 1619000, actuated: 1659000
[13]: sampled: 183000, processed: 1578000, actuated: 1618000
[14]: sampled: 202000, processed: 1751000, actuated: 1791000
[15]: sampled: 190000, processed: 1493000, actuated: 1533000
[16]: sampled: 177000, processed: 1480000, actuated: 1520000
[17]: sampled: 197000, processed: 1468000, actuated: 1509000
[18]: sampled: 182000, processed: 1270000, actuated: 1310000
[19]: sampled: 199000, processed: 1532000, actuated: 1573000
[20]: sampled: 839000, processed: 2281000, actuated: 2321000
[21]: sampled: 199000, processed: 1471000, actuated: 1512000
[22]: sampled: 188000, processed: 1553000, actuated: 1593000
[23]: sampled: 179000, processed: 1513000, actuated: 1553000
[24]: sampled: 197000, processed: 1469000, actuated: 1510000
[25]: sampled: 184000, processed: 1425000, actuated: 1465000
[26]: sampled: 196000, processed: 1590000, actuated: 1630000
[27]: sampled: 181000, processed: 1514000, actuated: 1554000
[28]: sampled: 194000, processed: 1527000, actuated: 1567000
[29]: sampled: 178000, processed: 1449000, actuated: 1489000
[30]: sampled: 195000, processed: 1497000, actuated: 1537000
[31]: sampled: 181000, processed: 1452000, actuated: 1492000
[32]: sampled: 190000, processed: 1615000, actuated: 1655000
[33]: sampled: 171000, processed: 1626000, actuated: 1667000
[34]: sampled: 186000, processed: 1550000, actuated: 1590000
[35]: sampled: 171000, processed: 1381000, actuated: 1422000
[36]: sampled: 187000, processed: 1643000, actuated: 1683000
[37]: sampled: 171000, processed: 1596000, actuated: 1637000
[38]: sampled: 189000, processed: 1400000, actuated: 1440000
[39]: sampled: 174000, processed: 1476000, actuated: 1517000
[40]: sampled: 191000, processed: 1585000, actuated: 1625000
[41]: sampled: 172000, processed: 1444000, actuated: 1484000
[42]: sampled: 186000, processed: 1426000, actuated: 1467000
