sum: 49995000






Stop after 1000 iterations
main shutdown
logger shutdown
[0]: sampled: 545000, processed: 1716000, actuated: 1757000
[1]: sampled: 184000, processed: 1487000, actuated: 1528000
[2]: sampled: 202000, processed: 1413000, actuated: 1453000
[3]: sampled: 188000, processed: 1767000, actuated: 1807000
[4]: sampled: 174000, processed: 1753000, actuated: 1793000
[5]: sampled: 191000, processed: 1432000, actuated: 1472000
[6]: sampled: 174000, processed: 1415000, actuated: 1455000
[7]: sampled: 185000, processed: 1304000, actuated: 1344000
[8]: sampled: 201000, processed: 1442000, actuated: 1483000
[9]: sampled: 187000, processed: 1398000, actuated: 1439000
[10]: sampled: 174000, processed: 1507000, actuated: 1547000
[11]: sampled: 192000, processed: 1525000, actuated: 1565000
[12]: sampled: 177000, processed: 1571000, actuated: 1612000
[13]: sampled: 192000, processed: 1586000, actuated: 1626000
[14]: sampled: 173000, processed: 1720000, actuated: 1760000
[15]: sampled: 186000, processed: 1458000, actuated: 1498000
[16]: sampled: 170000, processed: 1473000, actuated: 1513000
[17]: sampled: 183000, processed: 1455000, actuated: 1496000
[18]: sampled: 198000, processed: 1285000, actuated: 1325000
[19]: sampled: 178000, processed: 1510000, actuated: 1550000
[20]: sampled: 187000, processed: 1611000, actuated: 1651000
[21]: sampled: 165000, processed: 2751000, actuated: 2791000
[22]: sampled: 174000, processed: 1537000, actuated: 1578000
[23]: sampled: 186000, processed: 1549000, actuated: 1589000
[24]: sampled: 199000, processed: 1470000, actuated: 1510000
[25]: sampled: 180000, processed: 1421000, actuated: 1462000
[26]: sampled: 191000, processed: 1584000, actuated: 1625000
[27]: sampled: 172000, processed: 1505000, actuated: 1545000
[28]: sampled: 188000, processed: 1521000, actuated: 1561000
[29]: sampled: 170000, processed: 1442000, actuated: 1482000
[30]: sampled: 184000, processed: 2638000, actuated: 2678000
[31]: sampled: 165000, processed: 1406000, actuated: 1446000
[32]: sampled: 179000, processed: 1603000, actuated: 1644000
[33]: sampled: 188000, processed: 1673000, actuated: 1713000
[34]: sampled: 167000, processed: 1499000, actuated: 1539000
[35]: sampled: 174000, processed: 1384000, actuated: 1424000
[36]: sampled: 178000, processed: 1632000, actuated: 1672000
[37]: sampled: 186000, processed: 1641000, actuated: 1681000
[38]: sampled: 166000, processed: 1407000, actuated: 1447000
[39]: sampled: 178000, processed: 1450000, actuated: 1490000
[40]: sampled: 191000, processed: 1584000, actuated: 1624000
[41]: sampled: 169000, processed: 1410000, actuated: 1450000
[42]: sampled: 179000, processed: 1449000, actuated: 1489000
[43]: sampled: 186000, processed: 1518000, actuated: 1558000
[44]: sampled: 194000, processed: 1465000, actuated: 1505000
[45]: sampled: 172000, processed: 1412000, actuated: 1452000
[46]: sampled: 181000, processed: 1788000, actuated: 1828000
[47]: sampled: 187000, processed: 1549000, actuated: 1589000
[48]: sampled: 195000, processed: 1435000, actuated: 1476000
[49]: sampled: 174000, processed: 1384000, actuated: 1424000
[50]: sampled: 185000, processed: 1548000, actuated: 1589000
[51]: sampled: 201000, processed: 1718000, actuated: 1758000
[52]: sampled: 185000, processed: 1456000, actuated: 1496000
[53]: sampled: 198000, processed: 1500000, actuated: 1540000
[54]: sampled: 180000, processed: 1666000, actuated: 1706000
[55]: sampled: 191000, processed: 1493000, actuated: 1533000
[56]: sampled: 171000, processed: 1657000, actuated: 1697000
[57]: sampled: 183000, processed: 1454000, actuated: 1494000
[58]: sampled: 193000, processed: 1526000, actuated: 1567000
[59]: sampled: 176000, processed: 1417000, actuated: 1457000
[60]: sampled: 190000, processed: 1523000, actuated: 1563000
[61]: sampled: 171000, processed: 1289000, actuated: 1329000
[62]: sampled: 181000, processed: 1422000, actuated: 1462000
[63]: sampled: 193000, processed: 1703000, actuated: 1743000
[64]: sampled: 143000, processed: 1291000, actuated: 1332000
[65]: sampled: 182000, processed: 1484000, actuated: 1524000
[66]: sampled: 193000, processed: 1373000, actuated: 1413000
[67]: sampled: 173000, processed: 1536000, actuated: 1576000
[68]: sampled: 183000, processed: 1576000, actuated: 1617000
[69]: sampled: 192000, processed: 1524000, actuated: 1565000
[70]: sampled: 169000, processed: 1440000, actuated: 1481000
[71]: sampled: 177000, processed: 1570000, actuated: 1611000
[72]: sampled: 188000, processed: 1490000, actuated: 1531000
[73]: sampled: 170000, processed: 1717000, actuated: 1758000
[74]: sampled: 180000, processed: 1421000, actuated: 1461000
[75]: sampled: 192000, processed: 1556000, actuated: 1596000
[76]: sampled: 174000, processed: 1536000, actuated: 1576000
[77]: sampled: 184000, processed: 1456000, actuated: 1496000
[78]: sampled: 197000, processed: 1407000, actuated: 1448000
[79]: sampled: 177000, processed: 1510000, actuated: 1550000
[80]: sampled: 192000, processed: 1463000, actuated: 1504000
[81]: sampled: 173000, processed: 1444000, actuated: 1484000
[82]: sampled: 186000, processed: 1456000, actuated: 1496000
[83]: sampled: 197000, processed: 1561000, actuated: 1601000
[84]: sampled: 180000, processed: 1513000, actuated: 1553000
[85]: sampled: 196000, processed: 1528000, actuated: 1568000
[86]: sampled: 179000, processed: 1543000, actuated: 1583000
[87]: sampled: 195000, processed: 1681000, actuated: 1722000
[88]: sampled: 180000, processed: 1544000, actuated: 1584000
[89]: sampled: 196000, processed: 1621000, actuated: 1661000
[90]: sampled: 181000, processed: 1392000, actuated: 1432000
[91]: sampled: 197000, processed: 1562000, actuated: 1602000
[92]: sampled: 182000, processed: 1424000, actuated: 1464000
[93]: sampled: 197000, processed: 1407000, actuated: 1448000
[94]: sampled: 179000, processed: 1543000, actuated: 1583000
[95]: sampled: 193000, processed: 1496000, actuated: 1536000
[96]: sampled: 178000, processed: 1480000, actuated: 1520000
[97]: sampled: 464000, processed: 1895000, actuated: 1935000
[98]: sampled: 179000, processed: 1513000, actuated: 1553000
[99]: sampled: 196000, processed: 1438000, actuated: 1478000
[100]: sampled: 182000, processed: 1484000, actuated: 1524000
[101]: sampled: 197000, processed: 1468000, actuated: 1508000
